,count,mean,std,min,25%,50%,75%,max,variance,mode,skewness,kurtosis,IQR
Year_of_Release,16450.0,2006.4873556231003,5.8789947683483215,1980.0,2003.0,2007.0,2010.0,2020.0,34.562579486266934,2008.0,-0.9731508298532476,1.7712937225808032,7.0
NA_Sales,16719.0,0.2633303427238471,0.8135138347516191,0.0,0.0,0.08,0.24,41.36,0.6618047593322847,0.0,18.773790312726334,648.7012102793825,0.24
EU_Sales,16719.0,0.14502482205873557,0.5032832960942158,0.0,0.0,0.02,0.11,28.96,0.25329407612745813,0.0,18.852939056080814,755.6729410359546,0.11
JP_Sales,16719.0,0.07760212931395417,0.3088180805146378,0.0,0.0,0.0,0.04,10.22,0.09536860685274533,0.0,11.208769128232705,194.31154825157105,0.04
Other_Sales,16719.0,0.04733177821640051,0.18670989698947893,0.0,0.0,0.01,0.03,10.57,0.034860585633821835,0.0,24.586282622292313,1055.1277028387883,0.03
Global_Sales,16719.0,0.5335426759973684,1.5479351247177668,0.01,0.06,0.17,0.47,82.53,2.3961031503350085,0.02,17.377989722323186,604.0982613416559,0.41
Critic_Score,8137.0,68.96767850559173,13.938164552843213,13.0,60.0,71.0,79.0,98.0,194.27243110213504,70.0,-0.6136462286413598,0.1428510301718191,19.0
Critic_Count,8137.0,26.360820941378886,18.980494534582068,3.0,12.0,21.0,36.0,113.0,360.2591727772998,4.0,1.1551248654465518,1.0318113514452163,24.0
User_Count,7590.0,162.22990777338603,561.2823262473771,4.0,10.0,24.0,81.0,10665.0,315037.8497576671,4.0,9.033248924876528,112.51919257401102,71.0
